"Dispensary","Hoodie ID","License #","Carried SKUs","SKU Count Change (since last week)","Total Monthly Sales","Address"
"Western Oregon Dispensary - Sherwood","13872","OMMD00477","322","3% (-9)","under $250k","15025 SW Tualatin-Sherwood Rd, Sherwood, OR 97140, USA"
"Electric Lettuce - Sellwood","17778","050-101478142AC","249","3% (-9)","under $250k","7703 SE 13th Ave, Portland, OR 97202, USA"
"Today's Herbal Choice - Forest Grove","masterauto1728330181979","050-6783","232","4% (-9)","under $250k","3130 Pacific Ave, Forest Grove, OR 97116, USA"
"The Farmacy - Astoria","14186","050-10109648FB8","200","4% (-9)","under $250k","2911 Marine Dr suite b, Astoria, OR 97103, USA"
"LUCKY LION - POWELL","11291","050-101369028B1","119","7% (-9)","under $250k","14800 SE Powell Blvd, Portland, OR 97236, USA"
"Lucky Lion - Eugene","14537","050-1009099F609 AG-L1058960A","115","7% (-9)","under $250k","2164 W 7th Ave, Eugene, OR 97402, USA"
"Pur Roots","13153","050-1004701F805","758","1% (-8)","under $250k","5816 NE Portland Hwy, Portland, OR 97218, USA"
"Redbarn Dispensary - Springfield","masterauto1635785477762","050-1005168B9ED","632","1% (-8)","$250k-$500k","1045 Gateway Loop, Springfield, OR 97477, USA"
"The Bakery - Lafayette","masterauto1731718014071","Unspecified","528","1% (-8)","under $250k","373 Bridge St, Lafayette, Oregon, USA"
"Green Room - Headquarters","13100","050-100297375C8","504","2% (-8)","under $250k","2521 NW 9th St, Corvallis, OR 97330, USA"
"Somewhere Dispensary","14315","050-10088208976","348","2% (-8)","under $250k","2128 NW Overton St, Portland, OR 97210, USA"
"Emerald Triangle - Roseburg","masterauto1670358858832","050-1012006BB1E","348","2% (-8)","under $250k","1630 NW Garden Valley Blvd, Roseburg, Oregon, USA"
"Mr. Nice Guy - Cornelius","15974","020-1065447D3 050 10111201EE2","340","2% (-8)","under $250k","3146 E BASELINE ST , Cornelius, Oregon, USA"
"Truly Pure","11198","060100388704F8","322","2% (-8)","under $250k","1006 SE Grand Ave #104, Portland, OR 97214, USA"
"Emerald Triangle Dispensary - Albany","masterauto1629307945954","050-1012475B14E","295","3% (-8)","under $250k","838 Pacific Blvd SE, Albany, OR 97322, USA"
"Oregon's Best Buds","9937","050-10032511404","227","3% (-8)","under $250k","10128 E Burnside St, Portland, OR 97216, USA"
"Satchel - Portland","14932","050-10008176667","188","4% (-8)","under $250k","6900 N Interstate Ave, Portland, OR 97217, USA"
"Carefree Cannabis","masterauto1629307945381","050 10131389424","108","7% (-8)","under $250k","5926 NE Killingsworth St, Portland, OR 97218, USA"
"LUCKY LION - Halsey","10655","101369028B1","107","7% (-8)","under $250k","7817 NE Halsey St, Portland, OR 97213, USA"
"Cream Cannabis","masterauto1652891356493","05010145124694","54","13% (-8)","under $250k","47700 NW Sunset Hwy, Banks, OR 97106, USA"
"The Green Room Dispensary - Corvallis - South","masterauto1743196343860","050-1015927ADFE","350","2% (-7)","under $250k","1665 SW 3rd St, Corvallis, OR 97333, USA"
"Electric Lettuce - Sandy Blvd","masterauto1622682071881","050-10140881D51","226","3% (-7)","under $250k","2026 NE Sandy Blvd, Portland, OR 97232, USA"
"Bloominati Cannabis - Forest Grove","masterauto1643668053388","050 101408643F8","181","4% (-7)","$250k-$500k","2420 Pacific Ave, Forest Grove, OR 97116, USA"
"Southern Oregon Cannabis Connection","12958","050-1005629EC8B","160","4% (-7)","under $250k","1950 NE 7th St, Grants Pass, OR 97526, USA"
"Substance - Midtown","15497","050-10044860EA3","1176","1% (-6)","$250k-$500k","1814 NE Division St, Bend, OR 97701, USA"
"Livewell Dispensary","10772","050-100088728CB","752","1% (-6)","under $250k","696 Hawthorne Ave NE #100, Salem, OR 97301, USA"
"Rose Budz PDX","masterauto1626180295985","050-10168108EB5","650","1% (-6)","under $250k","2410 N Mississippi Ave, Portland, OR 97227, USA"
"The Lucky Leaf - Silverton","13381","050-1001843EA13","578","1% (-6)","under $250k","208 Jersey St, Silverton, OR 97381, USA"
"Nebula Cannabis","15598","050-10104115CC6","525","1% (-6)","under $250k","11605 SE Powell Blvd, Portland, OR 97266, USA"
"Kaleafa Cannabis Company - Hillsboro","10165","050-101605722B3","488","1% (-6)","under $250k","353 SW Walnut St, Hillsboro, OR 97123, USA"
"Phresh Start - Barger","masterauto1649272426028","050-100912345DE","406","1% (-6)","under $250k","4925 Barger Dr A, Eugene, OR 97402, USA"
"Canna Bros - Lebanon","masterauto1674593695113","Unspecified","398","1% (-6)","under $250k","1111 S Main St, Lebanon, OR 97355, USA"
"Happy Leaf - Portland","13514","050-1000146ACE7","364","2% (-6)","under $250k","1301 NE Broadway St, Portland, OR 97232, USA"
"Preserve Oregon","12082","050-1009465D34F","356","2% (-6)","under $250k","1201 Commercial St SE, Salem, OR 97302, USA"
"Oregon Weedery","11028","050-100289392BD","354","2% (-6)","under $250k","2327 NW Kearney St, Portland, OR 97210, USA"
"DiamondTree - Madras","15238","050-1000076B368","348","2% (-6)","under $250k","380 North Sunset Highway, Madras, OR 97741, USA"
"Crater Cannabis","masterauto1673369930556","050-101894058F6","338","2% (-6)","under $250k","1180 Crater Lake Ave, Medford, OR 97504, USA"
"Oregon's Finest - Convention Center","masterauto1721429239754","050-1000162E337","309","2% (-6)","under $250k","505 NE Grand Ave, Portland, OR 97232, USA"
"Green Gratitude","15631","050-1004550B848","294","2% (-6)","under $250k","10322 SE Holgate Blvd, Portland, OR 97266, USA"
"Pakalolo PDX","15008","050-10040109FC7","274","2% (-6)","under $250k","1528 SE Holgate Blvd, Portland, OR 97202, USA"
"Diamond Cannabis","14173","050-10053021A3C","266","2% (-6)","under $250k","300 SW 6th St, Grants Pass, OR 97526, USA"
"Canna-Daddy’s Wellness Center","10567","050-1013745FADA","245","2% (-6)","under $250k","17020 SE Division St, Portland, OR 97236, USA"
"Electric Lettuce - Holgate","16326","050-1012021E786","210","3% (-6)","under $250k","12131 SE Holgate Blvd, Portland, OR 97266, USA"
"NW Compassion Medical Center","11360","050-10158844904","124","5% (-6)","under $250k","1970 NE 238th Dr, Wood Village, OR 97060, USA"
"Budlandia - Portland","11503","050-10007839141","116","5% (-6)","under $250k","16440 SE Division St, Portland, OR 97236, USA"
"Tropicannabis Club","13588","Unspecified","95","6% (-6)","under $250k","1817 Cascade Ave, Hood River, OR 97031, USA"
"Oregrown - Bend","14772","050-10035451904","638","1% (-5)","$250k-$500k","1199 NW Wall St, Bend, OR 97701, USA"
"Sumpter's Nugget","12939","050-10047883377","193","3% (-5)","under $250k","160 Mill St Ste 102, Sumpter, OR 97877, USA"
"Tree House Collective - North","masterauto1721229793327","10225541A5A","183","3% (-5)","under $250k","5701 N Lombard St, Portland, OR 97203, USA"
"TreeHouse Collective","11178","050-1004294B93A","174","3% (-5)","under $250k","2419 NE Sandy Blvd, Portland, OR 97232, USA"
"Sunray Cannabis","11619","050-1003823E63C","165","3% (-5)","under $250k","1347 Oregon Coast Hwy, Lincoln City, OR 97367, USA"
"Local Herb Collective","14207","050-1004764F055","160","3% (-5)","under $250k","15948 SE Division St, Portland, OR 97236, USA"
"The Herbsman","15538","050 10052360AEA","96","5% (-5)","under $250k","1244 S Riverside Ave, Medford, OR 97501, USA"
"River City - Merlin","12285","050-1016693DF27","95","5% (-5)","under $250k","115 Galice Rd, Merlin, OR 97532, USA"
"Xclusive Taste Retail","masterauto1709914303779","Unspecified","66","7% (-5)","under $250k","5821 SE Powell Blvd, Portland, OR 97206, USA"
"Oregon Bud Company - Newport","11696","050-10006568A0C","33","13% (-5)","under $250k","1155 SW Coast Hwy, Newport, OR 97365, USA"
